City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,beyneu,45.3167,55.2,-0.9,75,51,10.44,KZ,1707273401
339,invercargill,-46.4,168.35,17.23,64,16,4.02,NZ,1707273401
340,geraldton,-28.7667,114.6,35.23,12,0,8.75,AU,1707273402
341,znamenskoye,57.1281,73.8282,-5.76,87,100,4.89,RU,1707273402
342,san patricio,28.017,-97.5169,15.47,69,66,2.61,US,1707273402
343,queenstown,-31.8976,26.8753,19.33,46,17,1.94,ZA,1707273214
344,zheshart,62.0731,49.5733,-28.37,100,90,1.73,RU,1707273402
345,mejit,10.2753,170.8646,27.03,79,100,7.84,MH,1707273402
346,el calafate,-50.3408,-72.2768,11.61,83,88,5.89,AR,1707273156
347,takoradi,4.8845,-1.7554,25.01,88,9,1.3,GH,1707273203
348,elko,41.0002,-115.5012,2.02,94,100,0.45,US,1707273402
349,pugachev,52.0133,48.8025,-9.89,79,11,9.44,RU,1707273402
350,bria,6.5423,21.9863,20.41,24,94,2.85,CF,1707273402
351,laojunmiao,39.8333,97.7333,-5.83,50,93,0.97,CN,1707273402
352,lata,40.1629,-8.3327,10.04,95,82,1.79,PT,1707273402
353,labytnangi,66.6572,66.4183,-21.75,100,100,1.52,RU,1707273403
354,lihue,21.9789,-159.3672,26.58,66,75,8.75,US,1707273324
355,ta`u,-14.2336,-169.5144,28.21,84,100,13.16,AS,1707273397
356,kolokani,13.5728,-8.0339,19.57,14,0,4.1,ML,1707273403
357,santa cruz,-17.8,-63.1667,23.7,94,40,2.57,BO,1707273403
358,swakopmund,-22.6833,14.5333,19.47,91,86,1.96,NA,1707273403
359,rawson,-43.3002,-65.1023,25.1,52,100,6.82,AR,1707273403
